牵	牽
荦	犖
犊	犢
牺	犧
状	狀
狭	狹
狈	狽
犹	猶
狱	獄
狮	獅
奖	獎
独	獨
狯	獪
猃	獫
狝	獮
狞	獰
猎	獵
犷	獷
兽	獸
獭	獺
献	獻
猡	玀
珏	玨
现	現
珲	琿
玮	瑋
琐	瑣
瑶	瑤
莹	瑩
玱	瑲
琏	璉
𫞩	璊
琎	璡
玑	璣
瑷	璦
珰	璫
㻅	璯
环	環
玙	璵
玺	璽
𬍛	瓅
琼	瓊
珑	瓏
璎	瓔
瓒	瓚
瓯	甌
瓮	甕
产	產
亩	畝
毕	畢
异	異
畴	疇
叠	疊
痉	痙
痹	痺
疴	痾
痖	瘂
疯	瘋
疡	瘍
瘗	瘞
疮	瘡
疟	瘧
瘆	瘮
瘘	瘻
疗	療
痨	癆
痫	癇
瘅	癉
疠	癘
瘪	癟
痒	癢
疖	癤
癞	癩
癣	癬
瘿	癭
瘾	癮
痈	癰
瘫	癱
癫	癲
皑	皚
疱	皰
皲	皸
皱	皺
盗	盜
盏	盞
监	監
盘	盤
卢	盧
眦	眥
众	眾
𪾢	睍
睁	睜
睐	睞
眍	瞘
䁖	瞜
瞒	瞞
𥆧	瞤
睑	瞼
瞩	矚
矫	矯
硁	硜
硖	硤
砚	硯
硕	碩
砀	碭
砜	碸
确	確
码	碼
硙	磑
砖	磚
硵	磠
碜	磣
碛	磧
矶	磯
硗	磽
础	礎
𬒈	礐
碍	礙
矿	礦
砺	礪
砾	礫
矾	礬
砻	礱
禄	祿
祸	禍
祯	禎
祎	禕
祃	禡
禅	禪
礼	禮
祷	禱
秃	禿
税	稅
秆	稈
棱	稜
禀	稟
种	種
称	稱
䅟	穇
积	積
颖	穎
秾	穠
穑	穡
秽	穢
稳	穩
穞	穭
窝	窩
洼	窪
穷	窮
窑	窯
窎	窵
窭	窶
窥	窺
窜	竄
窍	竅
窦	竇
窃	竊
竞	競
笔	筆
笋	筍
笕	筧
笺	箋
筝	箏
节	節
箧	篋
𥬠	篘
𬕂	篢
笃	篤
筛	篩
筚	篳
箦	簀
篓	簍
箪	簞
简	簡
篑	簣
箫	簫
帘	簾
篮	籃
𥫣	籅
筹	籌
䉤	籔
箓	籙
篯	籛
箨	籜
籁	籟
笼	籠
签	籤
笾	籩
簖	籪
篱	籬
箩	籮
粤	粵
糁	糝
粪	糞
粮	糧
粝	糲
籴	糴
粜	糶
纟	糹
纠	糾
纪	紀
纣	紂
𬘓	紃
约	約
红	紅
纡	紆
纥	紇
纨	紈
纫	紉
纹	紋
纳	納
纽	紐
纾	紓
纯	純
纰	紕
纱	紗
纮	紘
纸	紙
级	級
纷	紛
纭	紜
𬘘	紞
纺	紡
䌷	紬
细	細
绂	紱
绁	紲
绅	紳
绍	紹
绀	紺
绋	紼
绐	紿
绌	絀
终	終
组	組
䌹	絅
绊	絆
绗	絎
结	結
绝	絕
绦	絛
绞	絞
络	絡
绚	絢
给	給
绒	絨
𬘡	絪
绖	絰
统	統
丝	絲
绛	絳
绢	絹
𫄨	絺
𦈌	綀
绑	綁
绡	綃
绠	綆
绨	綈
绤	綌
绥	綏
经	經
𫄧	綖
综	綜
𬘭	綝
绿	綠
绸	綢
𬘬	綪
绶	綬
维	維
绹	綯
绾	綰
纲	綱
网	網
缀	綴
纶	綸
绺	綹
绮	綺
绽	綻
绫	綾
绵	綿
绲	緄
缁	緇
紧	緊
绯	緋
绪	緒
绱	緔
缃	緗
缄	緘
线	線
缉	緝
缎	緞
缔	締
缗	緡
缘	緣
缌	緦
编	編
缓	緩
缅	緬
纬	緯
𦈕	緰
缑	緱
练	練
缏	緶
缇	緹
萦	縈
缙	縉
缢	縊
缒	縋
绉	縐
缣	縑
缊	縕
缞	縗
缚	縛
缜	縝
缟	縞
缛	縟
县	縣
缝	縫
缡	縭
缩	縮
𬙂	縯
纵	縱
缧	縲
䌸	縳
缦	縵
絷	縶
缕	縷
缥	縹
总	總
绩	績
绷	繃
缫	繅
缪	繆
缯	繒
织	織
缮	繕
缭	繚
绕	繞
绣	繡
缋	繢
绳	繩
绘	繪
缳	繯
缲	繰
缴	繳
䍁	繸
绎	繹
𦈡	繻
继	繼
𫄸	纁
𬙊	纆
颣	纇
缬	纈
纩	纊
续	續
缠	纏
缨	纓
𬙋	纕
缵	纘
缆	纜
钵	缽
罂	罌
罚	罰
骂	罵
罢	罷
罗	羅
罴	羆
羁	羈
芈	羋
羟	羥
羡	羨
义	義
习	習
翚	翬
翘	翹
翙	翽
耧	耬
耢	耮
闻	聞
联	聯
聪	聰
声	聲
耸	聳
聩	聵
聂	聶
职	職
聋	聾
肃	肅
胁	脅
脉	脈
胫	脛
𣍰	脥
脱	脫
胀	脹
肾	腎
胨	腖
脶	腡
脑	腦
肿	腫
脚	腳
肠	腸
肷	膁
腘	膕
肤	膚
䏝	膞
胶	膠
腻	膩
胆	膽
脍	膾
脓	膿
脸	臉
脐	臍
胪	臚
脔	臠
卧	臥
临	臨
与	與
兴	興
举	舉
旧	舊
舱	艙
舣	艤
舰	艦
舻	艫
艰	艱
刍	芻
兹	茲
荆	荊
庄	莊
茎	莖
荚	莢
苋	莧
芲	菕
华	華
苌	萇
莱	萊
万	萬
荝	萴
着	著
荮	葤
苇	葦
荤	葷
搜	蒐
莳	蒔
苍	蒼
荪	蓀
盖	蓋
莲	蓮
苁	蓯
荜	蓽
蒌	蔞
蒋	蔣
葱	蔥
茑	蔦
荫	蔭
蒇	蕆
莸	蕕
荛	蕘
蒉	蕢
荡	蕩
芜	蕪
萧	蕭
蓣	蕷
蕰	薀
荟	薈
蓟	薊
荙	薘
荐	薦
萨	薩
䓕	薳
苧	薴
荠	薺
蓝	藍
荩	藎
艺	藝
药	藥
薮	藪
苈	藶
蔼	藹
蔺	藺
萚	蘀
蕲	蘄
芦	蘆
苏	蘇
蕴	蘊
𬞟	蘋
藓	蘚
蔹	蘞
茏	蘢
兰	蘭
蓠	蘺
萝	蘿
𬟁	虉
处	處
虚	虛
虏	虜
号	號
亏	虧
虬	虯
蛱	蛺
蜕	蛻
蚬	蜆
蚀	蝕
猬	蝟
虾	蝦
蜗	蝸
蛳	螄
萤	螢
蝼	螻
螀	螿
蛰	蟄
蝈	蟈
螨	蟎
虮	蟣
蝉	蟬
蛲	蟯
虫	蟲
蛏	蟶
蚁	蟻
蚃	蠁
蝇	蠅
虿	蠆
蝎	蠍
蝾	蠑
蚝	蠔
𧏖	蠙
蜡	蠟
蛎	蠣
蛊	蠱
蚕	蠶
蛮	蠻
术	術
卫	衛
衮	袞
补	補
装	裝
制	製
裈	褌
袆	褘
裤	褲
裢	褳
亵	褻
裥	襉
袄	襖
裣	襝
裆	襠
袜	襪
衬	襯
袭	襲
襕	襴
见	見
觃	覎
规	規
觅	覓
视	視
觇	覘
觋	覡
觍	覥
觎	覦
亲	親
觊	覬
觏	覯
觐	覲
觑	覷
觉	覺
览	覽
觌	覿
观	觀
觞	觴
觯	觶
触	觸
讠	訁
订	訂
讣	訃
计	計
讯	訊
讧	訌
讨	討
𬣙	訏
讦	訐
讱	訒
训	訓
讪	訕
讫	訖
托	託
记	記
讹	訛
讶	訝
讼	訟
诀	訣
讷	訥
访	訪
设	設
许	許
诉	訴
诃	訶
诊	診
注	註
𧮪	詀
诂	詁
诋	詆
讵	詎
诈	詐
诏	詔
评	評
诐	詖
诇	詗
诎	詘
诅	詛
𬣞	詝
词	詞
咏	詠
诩	詡
询	詢
诣	詣
试	試
诗	詩
诧	詫
诟	詬
诡	詭
诠	詮
诘	詰
话	話
该	該
详	詳
诜	詵
诙	詼
诖	詿
诔	誄
诛	誅
诓	誆
夸	誇
认	認
诳	誑
诶	誒
诞	誕
诱	誘
诮	誚
语	語
诚	誠
诫	誡
诬	誣
误	誤
诰	誥
诵	誦
诲	誨
说	說
谁	誰
课	課
谇	誶
诽	誹
谊	誼
訚	誾
调	調
谄	諂
谆	諄
谈	談
诿	諉
请	請
诤	諍
诹	諏
诼	諑
谅	諒
论	論
谂	諗
谀	諛
谍	諜
谞	諝
谝	諞
𬤊	諟
谥	諡
诨	諢
谔	諤
谛	諦
谐	諧
谏	諫
谕	諭
咨	諮
讳	諱
谙	諳
𫍯	諴
谌	諶
讽	諷
诸	諸
谚	諺
谖	諼
诺	諾
谋	謀
谒	謁
谓	謂
誊	謄
诌	謅
谎	謊
谜	謎
𫍲	謏
谧	謐
谑	謔
谡	謖
谤	謗
谦	謙
讲	講
谢	謝
谣	謠
谟	謨
谪	謫
谬	謬
谫	謭
讴	謳
谨	謹
谩	謾
谲	譎
讥	譏
谮	譖
识	識
谯	譙
谭	譚
谱	譜
𫍽	譞
谵	譫
译	譯
议	議
谴	譴
护	護
诪	譸
誉	譽
读	讀
谉	讅
变	變
詟	讋
雠	讎
谗	讒
让	讓
谰	讕
谶	讖
谠	讜
谳	讞
𮙋	讟
岂	豈
竖	豎
丰	豐
艳	豔
猪	豬
豮	豶
猫	貓
䝙	貙
贝	貝
贞	貞
负	負
财	財
贡	貢
贫	貧
货	貨
贩	販
贪	貪
贯	貫
责	責
贮	貯
贳	貰
贰	貳
贵	貴
贬	貶
买	買
贷	貸
贶	貺
费	費
贴	貼
贻	貽
贸	貿
贺	賀
贲	賁
赂	賂
赁	賃
贿	賄
赅	賅
资	資
贾	賈
贼	賊
赈	賑
赊	賒
宾	賓
赇	賕
赒	賙
赉	賚
赐	賜
赏	賞
赔	賠
赓	賡
贤	賢
卖	賣
贱	賤
赋	賦
赕	賧
质	質
账	賬
赌	賭
赖	賴
赗	賵
赚	賺
赙	賻
购	購
赛	賽
赜	賾
贽	贄
赘	贅
赟	贇
赠	贈
赞	贊
赡	贍
赢	贏
赆	贐
赃	贓
赎	贖
赝	贗
赣	贛
赪	赬
赶	趕
赵	趙
趋	趨
趱	趲
迹	跡
践	踐
跄	蹌
跸	蹕
跖	蹠
踪	蹤
跷	蹺
趸	躉
跻	躋
跃	躍
跞	躒
踬	躓
