20692	吽呀	吽呀	 /variant of 吽牙[ou2 ya2]/
20732	呆会儿	呆會兒	 /variant of 待會兒|待会儿[dai1 hui4 r5]/
20769	告戒	告戒	 /variant of 告誡|告诫[gao4 jie4]/
20943	味淋	味淋	 /variant of 味醂[wei4 lin2]/
20952	味霖	味霖	 /variant of 味醂[wei4 lin2]/
20956	呵叱	呵叱	 /variant of 呵斥[he1 chi4]/
21136	和得来	和得來	 /variant of 合得來|合得来[he2 de5 lai2]/
21217	咔啦	咔啦	 /crispy, deep-fried (variant of 卡拉[ka3 la1])/
21247	咖啡馆儿	咖啡館兒	 /erhua variant of 咖啡館|咖啡馆[ka1 fei1 guan3]/
21273	咨询	咨詢	 /variant of 諮詢|咨询[zi1 xun2]/
21306	咬啮	咬齧	 /variant of 咬嚙|咬啮[yao3 nie4]/to gnaw/
21405	哀艳	哀艷	 /variant of 哀豔|哀艳[ai1 yan4]/
21408	哀词	哀詞	 /variant of 哀辭|哀辞[ai1 ci2]/
21419	品尝	品嘗	 /variant of 品嚐|品尝[pin3 chang2]/
21471	哄动	哄動	 /variant of 轟動|轰动[hong1 dong4]/
21472	哄动一时	哄動一時	 /variant of 轟動一時|轰动一时[hong1 dong4 yi1 shi2]/
21490	哇噻	哇噻	 /variant of 哇塞[wa1 sai1]/
21639	哥们儿	哥們兒	 /erhua variant of 哥們|哥们[ge1 men5]/
21771	哽喉	哽喉	 /variant of 鯁喉|鲠喉[geng3 hou2]/
21817	唏哩哗啦	唏哩嘩啦	 /variant of 稀里嘩啦|稀里哗啦[xi1 li5 hua1 la1]/
21819	唏里哗啦	唏里嘩啦	 /variant of 稀里嘩啦|稀里哗啦[xi1 li5 hua1 la1]/
21992	唱高调儿	唱高調兒	 /erhua variant of 唱高調|唱高调[chang4 gao1 diao4]/
22002	念念有词	唸唸有詞	 /variant of 念念有詞|念念有词[nian4 nian4 you3 ci2]/
22233	启蒙	啟矇	 /variant of 啟蒙|启蒙[qi3 meng2]/to instruct the young/
22241	启蛰	啟蟄	 /Waking from Hibernation/old variant of 驚蟄|惊蛰[Jing1 zhe2], Insects Wake, 3rd of the 24 solar terms 二十四節氣|二十四节气[er4 shi2 si4 jie2 qi5] 6th-20th March/
22259	啦呱	啦呱	 /variant of 拉呱[la1 gua5]/
22267	啫哩	啫哩	 /variant of 啫喱[zhe3 li2]/
22354	善罢干休	善罷干休	 /variant of 善罷甘休|善罢甘休[shan4 ba4 - gan1 xiu1]/
22393	喉急	喉急	 /variant of 猴急[hou2 ji2]/
22434	喘嘘嘘	喘噓噓	 /variant of 喘吁吁[chuan3 xu1 xu1]/
22658	单个儿	單個兒	 /erhua variant of 單個|单个[dan1 ge5]/
22823	喵的	喵的	 /drat/frick/(euphemistic variant of 媽的|妈的[ma1 de5])/
22878	嗓子眼儿	嗓子眼兒	 /erhua variant of 嗓子眼[sang3 zi5 yan3]/
22922	嗝儿屁	嗝兒屁	 /erhua variant of 嗝屁[ge2 pi4]/
23041	喽子	嘍子	 /variant of 婁子|娄子[lou2 zi5]/
23042	喽罗	嘍羅	 /variant of 嘍囉|喽啰[lou2 luo5]/
23065	呕气	嘔氣	 /variant of 慪氣|怄气[ou4 qi4]/
23078	嘚瑟	嘚瑟	 /variant of 得瑟[de4 se5]/
23191	嘹喨	嘹喨	 /variant of 嘹亮[liao2 liang4]/
23208	恶心	噁心	 /variant of 惡心|恶心[e3 xin1]/
23221	噏动	噏動	 /variant of 翕動|翕动[xi1 dong4]/
23253	器宇	器宇	 /(literary) variant of 氣宇|气宇[qi4 yu3]/
23254	器宇轩昂	器宇軒昂	 /variant of 氣宇軒昂|气宇轩昂[qi4 yu3 xuan1 ang2]/
23269	噩运	噩運	 /variant of 厄運|厄运[e4 yun4]/
23307	喷嘴儿	噴嘴兒	 /erhua variant of 噴嘴|喷嘴[pen1 zui3]/
23384	噼啪	噼啪	 /variant of 劈啪[pi1 pa1]/
23536	啰嗦	囉嗦	 /variant of 囉唆|啰唆[luo1 suo5]/
23775	回单儿	回單兒	 /erhua variant of 回單|回单[hui2 dan1]/
23798	回复	回復	 /to recover; to revert; to return to (good health, normal condition etc)/variant of 回覆[hui2 fu4]/
23819	回旋	回旋	 /variant of 迴旋|回旋[hui2 xuan2]/
23838	回游	回游	 /variant of 洄游[hui2 you2]/
23886	回转	回轉	 /variant of 迴轉|回转[hui2 zhuan3]/
23890	回避	回避	 /variant of 迴避|回避[hui2 bi4]/
23901	回响	回響	 /variant of 迴響|回响[hui2 xiang3]/
24006	囹圉	囹圉	 /variant of 囹圄[ling2 yu3]/
24592	图象	圖象	 /variant of 圖像|图像[tu2 xiang4]/
24599	图门江	圖門江	 /variant of 圖們江|图们江[Tu2 men2 jiang1]/
24662	土坎儿	土坎兒	 /erhua variant of 土坎[tu3 kan3]/
25159	坎肩儿	坎肩兒	 /erhua variant of 坎肩[kan3 jian1]/
25223	坐驾	坐駕	 /variant of 座駕|座驾[zuo4 jia4]/
25648	培果	培果	 /variant of 貝果|贝果[bei4 guo3]/
25818	堂花	堂花	 /variant of 唐花[tang2 hua1]/
25984	报怨	報怨	 /to pay back a score/to get revenge/to requite/(old) variant of 抱怨[bao4 yuan4]/
26094	塌实	塌實	 /variant of 踏實|踏实[ta1 shi5]/
26218	涂鸭	塗鴨	 /variant of 塗鴉|涂鸦[tu2 ya1]/graffiti/scrawl/poor calligraphy/to write badly/to scribble/
26362	垫底儿	墊底兒	 /erhua variant of 墊底|垫底[dian4 di3]/
26491	墨水儿	墨水兒	 /erhua variant of 墨水[mo4 shui3]/
26594	壅塞	壅塞	 /variant of 擁塞|拥塞[yong1 se4]/
26609	压伏	壓伏	 /variant of 壓服|压服[ya1 fu2]/
26628	压宝	壓寶	 /variant of 押寶|押宝[ya1 bao3]/
26637	压根儿	壓根兒	 /erhua variant of 壓根|压根[ya4 gen1]/
26658	压车	壓車	 /variant of 押車|押车[ya1 che1]/
26665	压韵	壓韻	 /variant of 押韻|押韵[ya1 yun4]/
26666	压马路	壓馬路	 /variant of 軋馬路|轧马路[ya4 ma3 lu4]/Taiwan pr. [ya1 ma3 lu4]/
27094	外边儿	外邊兒	 /erhua variant of 外邊|外边[wai4 bian5]/
27352	多采	多采	 /variant of 多彩[duo1 cai3]/
27396	夜宵儿	夜宵兒	 /erhua variant of 夜宵[ye4 xiao1]/
27408	夜消	夜消	 /variant of 夜宵[ye4 xiao1]/
27454	够戗	夠戧	 /variant of 夠嗆|够呛[gou4 qiang4]/
27490	夥伴	夥伴	 /variant of 伙伴[huo3 ban4]/
27491	夥计	夥計	 /variant of 伙計|伙计[huo3 ji5]/
27532	大伙儿	大伙兒	 /erhua variant of 大伙[da4 huo3]/
27676	大坂	大坂	 /Japanese surname Osaka/old variant of 大阪[Da4 ban3] (Osaka, city in Japan), used prior to the Meiji era/
27706	大夥	大夥	 /variant of 大伙[da4 huo3]/
27843	大才小用	大才小用	 /variant of 大材小用[da4 cai2 - xiao3 yong4]/
27905	大月支	大月支	 /variant of 大月氏[Da4 Yue4 zhi1]/
27967	大气儿	大氣兒	 /erhua variant of 大氣|大气[da4 qi4]/
28194	大腕儿	大腕兒	 /erhua variant of 大腕[da4 wan4]/
28519	天份	天份	 /variant of 天分[tian1 fen4]/
28780	天蟹座	天蟹座	 /Cancer (constellation and sign of the zodiac)/variant of 巨蟹座/
28915	太平洋周边	太平洋周邊	 /variant of 太平洋週邊|太平洋周边[Tai4 ping2 Yang2 Zhou1 bian1], Pacific Rim/
28968	太阿	太阿	 /variant of 泰阿[Tai4 e1]/
29195	夸夸其谈	夸夸其談	 /variant of 誇誇其談|夸夸其谈[kua1 kua1 - qi2 tan2]/
29227	夹当儿	夾當兒	 /erhua variant of 夾當|夹当[jia1 dang1]/
29313	奇迹	奇跡	 /variant of 奇蹟|奇迹[qi2 ji4]/
29434	奔头儿	奔頭兒	 /erhua variant of 奔頭|奔头[ben4 tou5]/
29527	奢糜	奢糜	 /variant of 奢靡[she1 mi2]/
29556	奥塞罗	奧塞羅	 /variant of 奧賽羅|奥赛罗[Ao4 sai4 luo2]/
29633	奥黛莉	奧黛莉	 /Audrey/variant of 奧黛麗|奥黛丽[Ao4 dai4 li4]/
29695	女功	女功	 /variant of 女紅|女红[nu:3 gong1]/
